subjects,number_student,rooms,num_seat,day,section
1,28,4,28,1,1
39,39,3,39,1,1
26,38,8,39,1,1
40,40,2,42,1,1
8,28,4,28,1,2
6,31,7,31,1,2
2,37,3,39,1,2
20,35,8,39,1,2
24,34,2,42,1,2
13,33,1,46,1,2
17,33,6,49,1,2
4,20,5,21,1,3
16,28,4,28,1,3
14,32,3,39,1,3
30,32,8,39,1,3
7,31,2,42,1,3
35,31,1,46,1,3
36,31,6,49,1,3
9,20,5,21,1,4
21,28,4,28,1,4
19,30,7,31,1,4
3,29,3,39,1,4
10,29,8,39,1,4
12,29,2,42,1,4
25,27,1,46,1,4
27,27,6,49,1,4
32,27,7,31,2,1
11,26,8,39,2,1
28,26,2,42,2,1
5,25,6,49,2,1
23,25,7,31,2,2
31,25,3,39,2,2
15,24,8,39,2,2
22,24,2,42,2,2
33,23,6,49,2,2
18,20,5,21,2,3
29,22,4,28,2,3
37,22,7,31,2,3
34,20,3,39,2,3
38,20,8,39,2,3
