subjects,number_student,rooms,num_seat,day,section
4,26,1,26,1,1
7,34,2,35,1,1
38,34,9,35,1,1
5,33,11,35,1,1
11,36,10,36,1,1
47,40,5,41,1,1
52,40,8,44,1,1
22,39,6,45,1,1
15,26,1,26,1,2
46,33,2,35,1,2
50,33,9,35,1,2
2,32,11,35,1,2
28,36,10,36,1,2
35,39,5,41,1,2
40,39,4,43,1,2
60,39,8,44,1,2
10,38,3,46,1,2
36,25,1,26,1,3
13,28,7,28,1,3
24,32,2,35,1,3
26,32,9,35,1,3
17,31,11,35,1,3
56,36,10,36,1,3
25,38,5,41,1,3
27,38,4,43,1,3
45,37,8,44,1,3
59,37,6,45,1,3
57,36,3,46,1,3
12,23,1,26,1,4
20,28,7,28,1,4
43,28,12,28,1,4
41,30,2,35,1,4
53,30,9,35,1,4
1,29,11,35,1,4
8,29,10,36,1,4
37,29,5,41,1,4
55,28,4,43,1,4
19,27,8,44,1,4
21,27,6,45,1,4
30,27,3,46,1,4
16,23,1,26,2,1
34,27,12,28,2,1
42,27,2,35,2,1
18,23,10,36,2,1
29,23,4,43,2,1
32,23,8,44,2,1
33,23,3,46,2,1
39,23,7,28,2,2
48,23,2,35,2,2
3,22,9,35,2,2
6,22,11,35,2,2
9,22,4,43,2,2
51,22,8,44,2,2
14,21,6,45,2,2
23,21,3,46,2,2
31,21,1,26,2,3
49,21,7,28,2,3
58,21,12,28,2,3
44,20,2,35,2,3
54,20,9,35,2,3
