subjects,number_student,rooms,num_seat,day,section
1,23,4,23,1,1
7,26,5,26,1,1
17,33,2,33,1,1
2,36,7,36,1,1
6,40,6,50,1,1
18,22,4,23,1,2
21,22,8,23,1,2
19,26,5,26,1,2
13,32,2,33,1,2
23,36,7,36,1,2
20,40,6,50,1,2
3,21,1,23,1,3
10,21,4,23,1,3
15,21,8,23,1,3
24,32,2,33,1,3
22,34,7,36,1,3
28,40,3,40,1,3
16,39,6,50,1,3
5,20,1,23,1,4
14,20,4,23,1,4
31,26,5,26,1,4
35,30,2,33,1,4
34,34,7,36,1,4
26,39,3,40,1,4
9,38,6,50,1,4
12,24,5,26,2,1
38,30,2,33,2,1
36,34,7,36,2,1
33,24,5,26,2,2
8,29,2,33,2,2
11,38,3,40,2,2
39,34,7,36,2,3
25,38,3,40,2,3
40,38,6,50,2,3
30,29,2,33,2,4
32,29,7,36,2,4
37,37,3,40,2,4
4,28,6,50,2,4
27,28,3,40,3,1
29,27,2,33,3,2
