subjects,number_student,rooms,num_seat,day,section
39,20,4,20,0,0
3,31,2,31,0,0
7,31,6,31,0,0
5,33,0,33,0,0
10,33,13,33,0,0
41,35,5,35,0,0
13,38,7,38,0,0
1,40,3,41,0,0
6,40,8,44,0,0
34,40,10,45,0,0
55,40,12,46,0,0
14,39,9,49,0,0
50,20,4,20,0,1
12,26,1,26,0,1
17,31,2,31,0,1
31,32,13,33,0,1
63,35,5,35,0,1
66,35,15,35,0,1
21,38,7,38,0,1
56,39,3,41,0,1
65,39,11,41,0,1
23,38,8,44,0,1
64,38,10,45,0,1
38,37,12,46,0,1
45,26,1,26,0,2
25,31,2,31,0,2
47,32,0,33,0,2
46,34,5,35,0,2
58,34,15,35,0,2
48,36,7,38,0,2
59,34,3,41,0,2
62,32,11,41,0,2
51,30,14,43,0,2
8,29,8,44,0,2
9,29,10,45,0,2
16,29,12,46,0,2
22,29,9,49,0,2
26,29,2,31,0,3
30,29,6,31,0,3
33,29,0,33,0,3
11,28,13,33,0,3
24,28,7,38,0,3
32,28,3,41,0,3
36,28,11,41,0,3
37,28,14,43,0,3
43,28,8,44,0,3
15,27,12,46,0,3
20,27,9,49,0,3
42,27,2,31,1,0
61,27,6,31,1,0
49,26,0,33,1,0
54,26,13,33,1,0
67,26,15,35,1,0
69,26,7,38,1,0
0,25,3,41,1,0
57,25,11,41,1,0
2,24,14,43,1,0
52,24,8,44,1,0
53,24,12,46,1,0
29,23,2,31,1,1
35,23,6,31,1,1
68,23,0,33,1,1
18,22,13,33,1,1
19,22,5,35,1,1
40,22,15,35,1,1
44,22,7,38,1,1
60,22,11,41,1,1
4,21,8,44,1,1
27,21,10,45,1,1
28,21,9,49,1,1
