subjects,number_student,rooms,num_seat,day,section
49,24,1,24,1,1
14,27,4,27,1,1
20,30,7,30,1,1
9,31,6,32,1,1
19,34,2,34,1,1
28,34,9,34,1,1
13,40,3,44,1,1
16,40,5,49,1,1
4,23,1,24,1,2
34,25,10,25,1,2
10,26,4,27,1,2
21,30,7,30,1,2
7,33,2,34,1,2
18,33,9,34,1,2
23,40,3,44,1,2
33,40,8,46,1,2
32,23,1,24,1,3
43,23,10,25,1,3
15,26,4,27,1,3
37,31,2,34,1,3
45,31,9,34,1,3
35,40,3,44,1,3
11,39,8,46,1,3
12,39,5,49,1,3
25,21,1,24,1,4
47,21,10,25,1,4
46,26,4,27,1,4
30,30,7,30,1,4
2,29,6,32,1,4
40,29,2,34,1,4
39,28,9,34,1,4
26,39,3,44,1,4
1,38,5,49,1,4
48,21,10,25,2,1
29,20,4,27,2,1
31,20,7,30,2,1
36,38,3,44,2,1
38,38,8,46,2,1
42,38,5,49,2,1
44,38,3,44,2,2
27,37,5,49,2,2
50,37,8,46,2,3
5,36,5,49,2,3
17,36,3,44,2,4
24,36,8,46,2,4
3,35,5,49,2,4
6,35,8,46,3,1
8,35,3,44,3,2
22,35,8,46,3,2
41,35,5,49,3,2
