subjects,number_student,rooms,num_seat,day,section
9,21,14,21,1,1
49,27,11,27,1,1
45,29,3,29,1,1
23,31,9,31,1,1
25,32,5,32,1,1
2,33,13,33,1,1
41,34,15,34,1,1
1,36,6,36,1,1
20,38,16,38,1,1
3,40,19,41,1,1
4,40,20,47,1,1
12,40,17,49,1,1
26,40,7,50,1,1
7,20,18,20,1,2
6,24,1,24,1,2
59,27,11,27,1,2
70,29,3,29,1,2
95,31,9,31,1,2
27,32,10,32,1,2
69,34,15,34,1,2
34,36,6,36,1,2
18,37,12,37,1,2
60,38,16,38,1,2
46,40,4,43,1,2
65,40,20,47,1,2
110,40,17,49,1,2
113,40,7,50,1,2
8,20,18,20,1,3
10,24,1,24,1,3
112,27,11,27,1,3
33,28,8,28,1,3
118,29,3,29,1,3
125,31,9,31,1,3
31,32,5,32,1,3
42,32,10,32,1,3
13,33,13,33,1,3
80,34,15,34,1,3
5,35,2,35,1,3
66,36,6,36,1,3
32,37,12,37,1,3
68,38,16,38,1,3
145,40,19,41,1,3
187,40,4,43,1,3
16,39,17,49,1,3
38,39,7,50,1,3
29,21,14,21,1,4
24,24,1,24,1,4
128,27,11,27,1,4
78,28,8,28,1,4
147,29,3,29,1,4
140,31,9,31,1,4
64,32,5,32,1,4
73,32,10,32,1,4
47,33,13,33,1,4
102,34,15,34,1,4
14,35,2,35,1,4
67,36,6,36,1,4
35,37,12,37,1,4
87,38,16,38,1,4
50,39,4,43,1,4
57,39,20,47,1,4
86,39,17,49,1,4
100,39,7,50,1,4
53,20,18,20,2,1
54,24,1,24,2,1
97,28,8,28,2,1
161,31,9,31,2,1
79,32,5,32,2,1
77,33,15,34,2,1
19,35,2,35,2,1
71,36,6,36,2,1
36,37,12,37,2,1
158,38,16,38,2,1
157,39,19,41,2,1
180,39,4,43,2,1
183,39,17,49,2,1
172,38,7,50,2,1
62,24,1,24,2,2
130,27,11,27,2,2
107,28,8,28,2,2
182,29,3,29,2,2
174,31,9,31,2,2
84,32,5,32,2,2
96,32,10,32,2,2
89,33,15,34,2,2
22,35,2,35,2,2
75,36,6,36,2,2
40,37,16,38,2,2
61,37,19,41,2,2
72,37,4,43,2,2
85,37,20,47,2,2
91,37,7,50,2,2
99,20,18,20,2,3
134,21,14,21,2,3
154,27,11,27,2,3
119,28,8,28,2,3
196,29,3,29,2,3
105,32,5,32,2,3
114,32,10,32,2,3
98,33,13,33,2,3
129,33,15,34,2,3
30,35,2,35,2,3
94,36,6,36,2,3
101,37,12,37,2,3
104,37,16,38,2,3
132,37,4,43,2,3
193,37,20,47,2,3
115,36,17,49,2,3
162,36,7,50,2,3
137,21,14,21,2,4
63,24,1,24,2,4
178,27,11,27,2,4
153,28,8,28,2,4
191,27,3,29,2,4
43,30,9,31,2,4
116,32,5,32,2,4
176,33,13,33,2,4
198,33,15,34,2,4
48,35,2,35,2,4
163,36,6,36,2,4
185,36,12,37,2,4
189,36,16,38,2,4
55,35,19,41,2,4
74,35,4,43,2,4
122,35,20,47,2,4
131,35,17,49,2,4
148,32,7,50,2,4
106,24,1,24,3,1
15,26,11,27,3,1
52,30,9,31,3,1
151,32,5,32,3,1
152,32,10,32,3,1
155,32,15,34,3,1
160,32,2,35,3,1
165,32,6,36,3,1
166,32,19,41,3,1
168,32,4,43,3,1
200,32,20,47,3,1
120,30,17,49,3,1
121,30,7,50,3,1
103,20,18,20,3,2
142,21,14,21,3,2
139,24,1,24,3,2
58,26,11,27,3,2
76,26,3,29,3,2
138,30,9,31,3,2
159,30,5,32,3,2
167,30,13,33,3,2
181,30,15,34,3,2
93,26,6,36,3,2
108,26,12,37,3,2
111,26,19,41,3,2
117,26,20,47,3,2
123,26,7,50,3,2
149,21,14,21,3,3
144,24,1,24,3,3
141,26,11,27,3,3
146,26,8,28,3,3
173,26,3,29,3,3
192,26,9,31,3,3
197,26,5,32,3,3
11,25,13,33,3,3
51,25,15,34,3,3
92,25,2,35,3,3
133,25,6,36,3,3
194,25,12,37,3,3
150,24,19,41,3,3
179,24,4,43,3,3
188,24,20,47,3,3
195,24,17,49,3,3
17,23,7,50,3,3
156,21,14,21,3,4
28,23,1,24,3,4
90,23,11,27,3,4
169,23,8,28,3,4
171,23,3,29,3,4
184,23,9,31,3,4
21,22,5,32,3,4
37,22,10,32,3,4
39,22,13,33,3,4
44,22,15,34,3,4
56,22,2,35,3,4
81,22,6,36,3,4
82,22,12,37,3,4
83,22,16,38,3,4
88,22,19,41,3,4
126,22,4,43,3,4
127,22,20,47,3,4
135,22,17,49,3,4
136,22,7,50,3,4
109,20,18,20,4,1
143,22,1,24,4,1
164,22,11,27,4,1
170,22,3,29,4,1
175,22,9,31,4,1
186,22,5,32,4,1
190,22,10,32,4,1
199,22,2,35,4,1
124,20,16,38,4,1
177,20,19,41,4,1
