subjects,number_student,rooms,num_seat,day,section
6,22,4,22,1,1
22,28,1,28,1,1
16,32,9,33,1,1
2,34,6,35,1,1
12,40,2,44,1,1
27,39,3,45,1,1
42,39,5,48,1,1
45,39,10,48,1,1
25,22,4,22,1,2
29,34,6,35,1,2
31,34,8,35,1,2
32,38,2,44,1,2
3,37,3,45,1,2
24,37,5,48,1,2
36,37,7,49,1,2
40,22,4,22,1,3
26,28,1,28,1,3
41,34,6,35,1,3
46,34,8,35,1,3
37,37,2,44,1,3
43,32,5,48,1,3
28,31,10,48,1,3
33,31,7,49,1,3
23,21,4,22,1,4
4,27,1,28,1,4
38,30,6,35,1,4
13,29,8,35,1,4
19,29,2,44,1,4
18,27,5,48,1,4
39,27,10,48,1,4
1,26,7,49,1,4
5,20,4,22,2,1
10,26,9,33,2,1
11,26,8,35,2,1
14,26,2,44,2,1
44,26,3,45,2,1
17,25,5,48,2,1
35,25,10,48,2,1
20,20,4,22,2,2
8,24,1,28,2,2
9,24,9,33,2,2
15,24,8,35,2,2
7,23,2,44,2,2
21,23,3,45,2,2
30,23,5,48,2,2
47,23,7,49,2,2
34,20,4,22,2,3
48,23,1,28,2,3
49,20,9,33,2,3
50,20,8,35,2,3
