subjects,number_student,rooms,num_seat,day,section
21,25,6,25,1,1
30,29,4,30,1,1
37,35,2,35,1,1
7,40,10,40,1,1
31,40,8,44,1,1
38,40,3,45,1,1
27,25,5,25,1,2
12,27,9,27,1,2
5,28,4,30,1,2
1,34,2,35,1,2
41,40,7,40,1,2
15,39,10,40,1,2
25,39,8,44,1,2
40,39,3,45,1,2
10,23,5,25,1,3
29,23,6,25,1,3
50,27,9,27,1,3
18,28,4,30,1,3
2,34,2,35,1,3
8,38,7,40,1,3
26,38,10,40,1,3
36,38,8,44,1,3
45,38,3,45,1,3
46,23,5,25,1,4
4,22,6,25,1,4
3,26,9,27,1,4
34,28,4,30,1,4
16,34,1,34,1,4
19,34,2,35,1,4
48,38,7,40,1,4
11,37,10,40,1,4
33,37,8,44,1,4
9,36,3,45,1,4
32,22,5,25,2,1
22,21,6,25,2,1
6,26,9,27,2,1
20,26,4,30,2,1
35,34,7,40,2,1
47,34,8,44,2,1
49,34,3,45,2,1
23,21,5,25,2,2
44,26,9,27,2,2
24,21,4,30,2,2
13,32,2,35,2,2
28,32,7,40,2,2
43,32,10,40,2,2
17,31,3,45,2,2
14,20,5,25,2,3
39,31,1,34,2,3
42,31,2,35,2,3
