subjects,number_student,rooms,num_seat,day,section
36,21,18,21,1,1
12,27,13,27,1,1
13,30,6,30,1,1
46,30,9,30,1,1
6,31,12,31,1,1
4,33,20,33,1,1
37,35,14,35,1,1
9,40,7,40,1,1
3,39,3,41,1,1
24,39,5,41,1,1
25,39,17,43,1,1
69,39,2,49,1,1
53,21,18,21,1,2
1,22,4,22,1,2
18,28,15,28,1,2
29,29,1,29,1,2
66,30,6,30,1,2
31,29,9,30,1,2
14,31,12,31,1,2
49,33,20,33,1,2
39,34,14,35,1,2
15,38,19,38,1,2
16,38,7,40,1,2
30,38,5,41,1,2
47,38,17,43,1,2
71,38,8,44,1,2
22,37,2,49,1,2
19,20,18,21,1,3
5,22,4,22,1,3
11,23,16,23,1,3
8,24,10,24,1,3
59,28,15,28,1,3
63,29,1,29,1,3
67,29,6,30,1,3
80,29,9,30,1,3
28,31,12,31,1,3
61,33,20,33,1,3
48,34,11,34,1,3
27,37,19,38,1,3
33,37,7,40,1,3
42,37,3,41,1,3
62,37,5,41,1,3
68,37,17,43,1,3
76,37,8,44,1,3
32,20,18,21,1,4
58,22,4,22,1,4
23,23,16,23,1,4
52,24,10,24,1,4
40,27,13,27,1,4
55,27,15,28,1,4
64,26,1,29,1,4
35,25,6,30,1,4
79,25,9,30,1,4
34,31,12,31,1,4
73,33,20,33,1,4
50,34,11,34,1,4
74,34,14,35,1,4
2,36,19,38,1,4
7,36,7,40,1,4
38,36,3,41,1,4
56,36,5,41,1,4
75,36,17,43,1,4
10,32,8,44,1,4
17,32,2,49,1,4
72,20,18,21,2,1
78,24,10,24,2,1
26,23,13,27,2,1
44,31,12,31,2,1
20,32,11,34,2,1
21,32,19,38,2,1
41,32,3,41,2,1
43,32,17,43,2,1
45,32,8,44,2,1
54,23,16,23,2,2
57,23,10,24,2,2
60,23,15,28,2,2
65,22,1,29,2,2
70,22,6,30,2,2
51,31,20,33,2,2
77,22,11,34,2,2
