subjects,number_student,rooms,num_seat,day,section
55,26,4,26,1,1
6,27,11,27,1,1
22,29,2,29,1,1
24,29,16,29,1,1
43,34,10,34,1,1
17,36,3,36,1,1
23,36,13,36,1,1
54,36,17,36,1,1
7,37,20,37,1,1
9,39,15,39,1,1
52,40,18,40,1,1
57,40,7,43,1,1
62,40,5,44,1,1
50,39,19,48,1,1
61,39,14,50,1,1
67,24,6,24,1,2
32,27,11,27,1,2
69,29,16,29,1,2
42,30,12,30,1,2
53,34,10,34,1,2
143,36,3,36,1,2
161,36,13,36,1,2
173,36,17,36,1,2
30,37,20,37,1,2
81,39,15,39,1,2
145,39,18,40,1,2
151,39,5,44,1,2
182,39,19,48,1,2
25,38,14,50,1,2
68,24,1,24,1,3
92,24,6,24,1,3
70,26,4,26,1,3
80,29,2,29,1,3
104,29,16,29,1,3
94,30,12,30,1,3
79,34,9,34,1,3
82,34,10,34,1,3
193,36,13,36,1,3
3,35,17,36,1,3
40,37,20,37,1,3
29,38,15,39,1,3
37,38,8,40,1,3
48,38,18,40,1,3
116,38,7,43,1,3
189,38,5,44,1,3
65,37,19,48,1,3
83,37,14,50,1,3
105,24,1,24,1,4
114,24,6,24,1,4
119,26,4,26,1,4
141,29,2,29,1,4
142,29,16,29,1,4
98,30,12,30,1,4
100,34,9,34,1,4
101,34,10,34,1,4
18,35,13,36,1,4
26,35,17,36,1,4
159,37,15,39,1,4
177,37,8,40,1,4
41,35,18,40,1,4
44,35,7,43,1,4
59,35,5,44,1,4
72,35,14,50,1,4
117,24,1,24,2,1
45,27,11,27,2,1
108,34,10,34,2,1
122,35,3,36,2,1
132,35,13,36,2,1
144,35,17,36,2,1
150,35,20,37,2,1
152,35,15,39,2,1
157,35,8,40,2,1
109,34,18,40,2,1
133,34,7,43,2,1
162,34,19,48,2,1
16,33,14,50,2,1
187,24,1,24,2,2
5,23,6,24,2,2
75,27,11,27,2,2
148,29,16,29,2,2
20,33,9,34,2,2
77,33,10,34,2,2
103,33,3,36,2,2
110,33,13,36,2,2
111,33,17,36,2,2
112,33,20,37,2,2
147,33,15,39,2,2
156,33,8,40,2,2
185,33,18,40,2,2
194,33,5,44,2,2
199,33,19,48,2,2
2,32,14,50,2,2
56,23,1,24,2,3
76,23,6,24,2,3
128,26,4,26,2,3
149,29,16,29,2,3
120,30,12,30,2,3
39,32,9,34,2,3
47,32,3,36,2,3
51,32,13,36,2,3
60,32,20,37,2,3
64,32,15,39,2,3
85,32,8,40,2,3
127,32,18,40,2,3
136,32,7,43,2,3
139,32,5,44,2,3
154,32,19,48,2,3
190,32,14,50,2,3
86,23,1,24,2,4
91,23,6,24,2,4
129,26,4,26,2,4
130,27,11,27,2,4
172,29,2,29,2,4
195,29,16,29,2,4
124,30,12,30,2,4
197,32,9,34,2,4
12,31,10,34,2,4
66,31,3,36,2,4
87,31,13,36,2,4
88,31,17,36,2,4
89,31,20,37,2,4
97,31,8,40,2,4
158,31,18,40,2,4
164,31,5,44,2,4
196,31,19,48,2,4
168,30,14,50,2,4
95,23,6,24,3,1
160,26,4,26,3,1
4,28,16,29,3,1
170,30,12,30,3,1
198,30,10,34,3,1
200,30,3,36,3,1
21,28,13,36,3,1
73,28,20,37,3,1
84,28,15,39,3,1
90,28,18,40,3,1
96,28,7,43,3,1
115,28,5,44,3,1
131,28,14,50,3,1
126,23,1,24,3,2
163,26,4,26,3,2
178,27,11,27,3,2
140,28,16,29,3,2
153,28,12,30,3,2
180,26,9,34,3,2
191,26,10,34,3,2
11,25,3,36,3,2
13,25,13,36,3,2
15,25,17,36,3,2
31,25,20,37,3,2
38,25,15,39,3,2
49,25,8,40,3,2
118,25,18,40,3,2
135,25,5,44,3,2
166,25,19,48,3,2
146,23,1,24,3,3
165,23,6,24,3,3
167,25,4,26,3,3
171,25,11,27,3,3
176,25,2,29,3,3
184,25,16,29,3,3
174,23,12,30,3,3
181,23,9,34,3,3
186,23,10,34,3,3
10,22,3,36,3,3
14,22,13,36,3,3
19,22,17,36,3,3
34,22,20,37,3,3
35,22,15,39,3,3
36,22,8,40,3,3
46,22,18,40,3,3
125,22,7,43,3,3
137,22,5,44,3,3
138,22,19,48,3,3
169,22,1,24,3,4
179,22,6,24,3,4
183,22,4,26,3,4
188,22,2,29,3,4
192,22,16,29,3,4
1,21,12,30,3,4
27,21,9,34,3,4
28,21,10,34,3,4
33,21,13,36,3,4
58,21,17,36,3,4
63,21,20,37,3,4
71,21,15,39,3,4
99,21,18,40,3,4
102,21,7,43,3,4
106,21,5,44,3,4
123,21,19,48,3,4
155,21,14,50,3,4
175,21,6,24,4,1
8,20,4,26,4,1
74,20,11,27,4,1
78,20,16,29,4,1
93,20,12,30,4,1
107,20,10,34,4,1
113,20,13,36,4,1
121,20,17,36,4,1
134,20,20,37,4,1
