subjects,number_student,rooms,num_seat,day,section
70,23,16,23,1,1
32,26,1,26,1,1
28,31,8,31,1,1
64,35,9,35,1,1
3,38,10,38,1,1
8,40,12,40,1,1
11,40,11,41,1,1
22,40,3,46,1,1
26,40,4,46,1,1
20,21,7,21,1,2
7,22,16,23,1,2
16,25,6,25,1,2
57,25,14,25,1,2
9,29,15,29,1,2
30,31,8,31,1,2
6,34,5,34,1,2
56,34,13,34,1,2
4,33,9,35,1,2
12,36,2,36,1,2
45,40,12,40,1,2
5,39,11,41,1,2
18,39,3,46,1,2
44,39,4,46,1,2
59,21,7,21,1,3
58,25,6,25,1,3
19,24,14,25,1,3
40,26,1,26,1,3
27,29,15,29,1,3
31,31,8,31,1,3
13,33,13,34,1,3
23,33,9,35,1,3
25,37,10,38,1,3
46,39,12,40,1,3
47,39,11,41,1,3
48,39,4,46,1,3
63,21,7,21,1,4
14,22,16,23,1,4
41,24,6,25,1,4
17,22,14,25,1,4
43,22,1,26,1,4
55,29,15,29,1,4
35,31,8,31,1,4
49,33,5,34,1,4
53,33,13,34,1,4
54,33,9,35,1,4
29,36,2,36,1,4
33,37,10,38,1,4
67,39,12,40,1,4
51,37,3,46,1,4
65,37,4,46,1,4
2,20,7,21,2,1
15,20,16,23,2,1
36,31,8,31,2,1
10,32,13,34,2,1
61,32,9,35,2,1
66,37,10,38,2,1
34,36,12,40,2,1
39,36,3,46,2,1
24,28,15,29,2,2
42,31,8,31,2,2
69,32,5,34,2,2
62,31,13,34,2,2
1,30,9,35,2,2
21,30,10,38,2,2
60,30,12,40,2,2
68,30,11,41,2,2
52,28,3,46,2,2
37,27,5,34,2,3
38,27,13,34,2,3
50,27,2,36,2,3
