subjects,number_student,rooms,num_seat,day,section
27,21,16,21,1,1
2,22,8,22,1,1
1,25,5,25,1,1
36,25,17,25,1,1
16,31,7,31,1,1
18,31,11,31,1,1
44,31,13,31,1,1
13,32,20,32,1,1
28,36,2,36,1,1
11,37,12,37,1,1
20,39,1,39,1,1
15,40,6,46,1,1
30,40,19,50,1,1
65,21,16,21,1,2
45,25,5,25,1,2
21,24,14,25,1,2
14,30,4,30,1,2
60,31,7,31,1,2
52,30,11,31,1,2
62,30,13,31,1,2
57,32,3,32,1,2
66,32,20,32,1,2
77,32,18,33,1,2
3,35,10,35,1,2
50,36,2,36,1,2
68,36,12,37,1,2
33,39,1,39,1,2
40,40,6,46,1,2
6,20,16,21,1,3
17,22,8,22,1,3
25,24,5,25,1,3
22,26,9,26,1,3
8,29,4,30,1,3
23,29,7,31,1,3
31,29,11,31,1,3
19,28,13,31,1,3
34,28,3,32,1,3
71,28,18,33,1,3
67,35,10,35,1,3
70,36,2,36,1,3
73,36,12,37,1,3
35,39,1,39,1,3
80,40,6,46,1,3
46,39,19,50,1,3
29,20,16,21,1,4
47,22,8,22,1,4
56,22,15,22,1,4
32,24,5,25,1,4
48,24,14,25,1,4
72,24,17,25,1,4
38,26,9,26,1,4
24,27,4,30,1,4
51,27,7,31,1,4
64,27,11,31,1,4
43,26,13,31,1,4
69,26,3,32,1,4
5,23,20,32,1,4
10,23,18,33,1,4
79,35,10,35,1,4
74,36,2,36,1,4
76,36,12,37,1,4
61,39,1,39,1,4
75,39,6,46,1,4
4,38,19,50,1,4
58,22,8,22,2,1
42,23,5,25,2,1
49,23,9,26,2,1
59,22,7,31,2,1
37,20,11,31,2,1
41,20,3,32,2,1
55,20,20,32,2,1
7,34,2,36,2,1
26,34,12,37,2,1
9,38,19,50,2,1
39,34,10,35,2,2
53,34,2,36,2,2
78,34,12,37,2,2
12,38,1,39,2,2
54,38,6,46,2,2
63,38,19,50,2,2
