subjects,number_student,rooms,num_seat,day,section
7,29,5,29,1,1
36,30,8,30,1,1
2,39,7,39,1,1
13,40,1,45,1,1
12,29,6,30,1,2
27,29,8,30,1,2
19,32,4,32,1,2
11,39,7,39,1,2
32,39,1,45,1,2
33,39,2,49,1,2
40,39,3,49,1,2
15,28,5,29,1,3
37,28,6,30,1,3
8,27,8,30,1,3
26,31,4,32,1,3
6,38,1,45,1,3
16,38,2,49,1,3
18,37,3,49,1,3
30,26,5,29,1,4
10,25,6,30,1,4
24,25,8,30,1,4
39,31,4,32,1,4
20,37,7,39,1,4
1,36,1,45,1,4
3,36,2,49,1,4
21,36,3,49,1,4
34,25,5,29,2,1
29,36,1,45,2,1
35,36,2,49,2,1
25,24,6,30,2,2
38,24,8,30,2,2
14,22,4,32,2,2
4,35,7,39,2,2
5,34,1,45,2,2
9,33,2,49,2,2
31,22,3,49,2,2
22,21,6,30,2,3
28,21,8,30,2,3
17,20,4,32,2,3
23,20,7,39,2,3
