subjects,number_student,rooms,num_seat,day,section
23,23,7,23,1,1
18,26,6,26,1,1
8,32,3,32,1,1
6,36,4,36,1,1
1,40,8,42,1,1
2,40,2,49,1,1
24,23,7,23,1,2
16,25,6,26,1,2
11,34,1,34,1,2
7,36,4,36,1,2
4,39,8,42,1,2
22,39,2,49,1,2
36,23,7,23,1,3
37,24,5,24,1,3
20,25,6,26,1,3
39,32,3,32,1,3
28,34,1,34,1,3
34,38,8,42,1,3
10,37,2,49,1,3
3,21,7,23,1,4
9,21,5,24,1,4
25,25,6,26,1,4
27,31,3,32,1,4
17,36,4,36,1,4
12,37,8,42,1,4
13,37,2,49,1,4
19,21,5,24,2,1
30,21,6,26,2,1
31,34,1,34,2,1
26,36,8,42,2,1
14,20,7,23,2,2
35,34,1,34,2,2
29,36,4,36,2,2
40,36,8,42,2,2
38,34,2,49,2,2
5,30,3,32,2,3
32,33,1,34,2,3
15,30,4,36,2,3
33,28,2,49,2,3
21,27,3,32,2,4
