subjects,number_student,rooms,num_seat,day,section
1,20,8,20,0,0
18,22,0,23,0,0
26,22,5,23,0,0
23,27,9,27,0,0
19,33,3,33,0,0
13,38,2,38,0,0
20,40,6,49,0,0
44,40,4,50,0,0
31,22,0,23,0,1
37,22,5,23,0,1
24,32,3,33,0,1
14,38,2,38,0,1
47,40,6,49,0,1
9,39,4,50,0,1
3,20,7,20,0,2
8,20,8,20,0,2
5,21,1,21,0,2
16,21,5,23,0,2
42,27,9,27,0,2
29,32,3,33,0,2
49,38,2,38,0,2
10,39,4,50,0,2
39,20,7,20,0,3
21,21,1,21,0,3
38,21,0,23,0,3
48,21,5,23,0,3
4,26,9,27,0,3
30,32,3,33,0,3
15,37,2,38,0,3
28,39,6,49,0,3
34,36,4,50,0,3
17,26,9,27,1,0
6,35,2,38,1,0
35,35,6,49,1,0
25,34,2,38,1,1
43,32,6,49,1,1
40,31,4,50,1,1
45,26,9,27,1,2
7,30,3,33,1,2
11,29,4,50,1,2
32,25,9,27,1,3
33,29,2,38,1,3
41,29,6,49,1,3
12,24,9,27,2,0
0,28,3,33,2,0
2,28,2,38,2,0
27,28,6,49,2,0
36,28,4,50,2,0
22,24,9,27,2,1
46,28,3,33,2,1
