subjects,number_student,rooms,num_seat,day,section
24,24,10,24,0,0
8,29,5,29,0,0
2,30,9,30,0,0
1,35,13,35,0,0
19,37,18,37,0,0
13,40,0,40,0,0
14,40,14,41,0,0
21,40,1,42,0,0
22,40,11,45,0,0
26,40,17,45,0,0
32,40,8,46,0,0
40,40,4,47,0,0
12,39,12,47,0,0
55,24,6,24,0,1
75,24,10,24,0,1
56,25,3,25,0,1
0,23,7,25,0,1
9,29,5,29,0,1
16,29,16,29,0,1
60,30,9,30,0,1
23,35,13,35,0,1
15,39,0,40,0,1
38,39,14,41,0,1
50,39,11,45,0,1
54,39,17,45,0,1
73,39,8,46,0,1
46,38,4,47,0,1
27,23,15,23,0,2
59,23,6,24,0,2
77,23,10,24,0,2
4,22,7,25,0,2
6,28,5,29,0,2
17,28,16,29,0,2
79,30,9,30,0,2
65,35,13,35,0,2
30,37,18,37,0,2
69,38,0,40,0,2
74,38,2,40,0,2
42,37,14,41,0,2
44,37,19,41,0,2
67,37,1,42,0,2
70,37,8,46,0,2
33,36,4,47,0,2
18,20,15,23,0,3
25,20,6,24,0,3
36,20,10,24,0,3
48,20,3,25,0,3
49,20,7,25,0,3
28,28,5,29,0,3
53,28,16,29,0,3
78,28,9,30,0,3
71,35,13,35,0,3
47,36,18,37,0,3
72,36,0,40,0,3
37,34,2,40,0,3
57,34,14,41,0,3
5,33,19,41,0,3
31,33,1,42,0,3
34,33,11,45,0,3
41,33,8,46,0,3
61,33,4,47,0,3
63,33,12,47,0,3
52,20,7,25,1,0
3,27,5,29,1,0
64,33,13,35,1,0
39,32,18,37,1,0
51,32,2,40,1,0
62,32,14,41,1,0
66,32,1,42,1,0
76,32,11,45,1,0
11,31,17,45,1,0
35,31,8,46,1,0
20,27,4,47,1,0
43,27,16,29,1,1
58,27,9,30,1,1
68,27,13,35,1,1
7,26,0,40,1,1
10,26,2,40,1,1
29,26,14,41,1,1
45,26,19,41,1,1
