subjects,number_student,rooms,num_seat,day,section
23,20,16,20,1,1
68,26,10,26,1,1
37,27,7,27,1,1
56,27,19,27,1,1
45,29,12,29,1,1
10,36,8,36,1,1
5,38,4,38,1,1
22,39,18,39,1,1
12,40,1,42,1,1
33,40,2,43,1,1
35,40,20,45,1,1
36,40,13,46,1,1
42,40,6,49,1,1
34,20,16,20,1,2
78,26,7,27,1,2
76,29,9,29,1,2
7,28,12,29,1,2
4,30,15,30,1,2
14,36,8,36,1,2
52,38,4,38,1,2
67,40,1,42,1,2
73,40,2,43,1,2
80,40,20,45,1,2
63,39,13,46,1,2
74,39,14,46,1,2
53,38,3,49,1,2
60,38,5,49,1,2
62,38,6,49,1,2
65,38,11,50,1,2
48,20,16,20,1,3
13,25,7,27,1,3
26,25,19,27,1,3
18,28,9,29,1,3
24,28,12,29,1,3
46,37,4,38,1,3
32,36,18,39,1,3
59,36,1,42,1,3
2,35,2,43,1,3
72,35,20,45,1,3
3,34,13,46,1,3
6,34,14,46,1,3
11,34,3,49,1,3
16,34,5,49,1,3
77,34,6,49,1,3
30,33,11,50,1,3
58,20,16,20,1,4
9,24,17,24,1,4
40,25,10,26,1,4
41,25,7,27,1,4
51,25,19,27,1,4
27,28,9,29,1,4
66,28,12,29,1,4
17,30,15,30,1,4
31,33,8,36,1,4
75,33,4,38,1,4
79,33,18,39,1,4
1,32,1,42,1,4
20,32,2,43,1,4
29,32,20,45,1,4
47,32,14,46,1,4
64,32,3,49,1,4
70,32,5,49,1,4
8,31,6,49,1,4
19,31,11,50,1,4
69,25,10,26,2,1
15,24,7,27,2,1
25,24,19,27,2,1
61,24,9,29,2,1
44,23,12,29,2,1
21,30,15,30,2,1
43,31,4,38,2,1
28,30,1,42,2,1
38,30,2,43,2,1
39,30,14,46,2,1
54,23,3,49,2,1
49,22,6,49,2,1
50,22,11,50,2,1
57,22,10,26,2,2
71,22,7,27,2,2
55,21,19,27,2,2
