subjects,number_student,rooms,num_seat,day,section
47,28,4,28,1,1
19,29,10,29,1,1
13,30,1,30,1,1
26,30,7,30,1,1
37,30,16,30,1,1
23,31,5,31,1,1
51,31,17,31,1,1
57,31,20,31,1,1
16,37,11,37,1,1
1,40,3,43,1,1
4,40,8,44,1,1
33,40,15,45,1,1
80,40,18,48,1,1
88,40,13,50,1,1
17,26,19,26,1,2
32,27,2,27,1,2
58,28,4,28,1,2
48,29,10,29,1,2
76,30,1,30,1,2
77,30,16,30,1,2
65,31,17,31,1,2
18,32,6,32,1,2
8,36,9,36,1,2
120,40,12,43,1,2
148,40,14,43,1,2
150,40,8,44,1,2
161,40,15,45,1,2
170,40,18,48,1,2
184,40,13,50,1,2
24,26,19,26,1,3
52,27,2,27,1,3
59,28,4,28,1,3
61,29,10,29,1,3
101,30,1,30,1,3
114,30,7,30,1,3
143,30,16,30,1,3
81,31,5,31,1,3
98,31,17,31,1,3
113,31,20,31,1,3
49,32,6,32,1,3
46,36,9,36,1,3
20,37,11,37,1,3
194,40,3,43,1,3
198,40,12,43,1,3
11,39,8,44,1,3
12,39,15,45,1,3
30,39,18,48,1,3
31,39,13,50,1,3
38,26,19,26,1,4
67,28,4,28,1,4
96,29,10,29,1,4
147,30,1,30,1,4
158,30,7,30,1,4
141,31,5,31,1,4
165,31,17,31,1,4
177,31,20,31,1,4
105,32,6,32,1,4
60,36,9,36,1,4
27,37,11,37,1,4
91,39,3,43,1,4
112,39,12,43,1,4
125,39,14,43,1,4
134,39,8,44,1,4
153,39,15,45,1,4
160,39,18,48,1,4
176,39,13,50,1,4
62,27,2,27,2,1
115,28,4,28,2,1
104,29,10,29,2,1
159,30,7,30,2,1
109,29,16,30,2,1
121,29,17,31,2,1
74,36,9,36,2,1
35,37,11,37,2,1
21,38,3,43,2,1
71,38,8,44,2,1
72,38,15,45,2,1
84,26,19,26,2,2
108,27,2,27,2,2
172,28,4,28,2,2
123,29,10,29,2,2
140,27,1,30,2,2
142,27,7,30,2,2
144,27,5,31,2,2
151,27,17,31,2,2
152,27,20,31,2,2
107,32,6,32,2,2
171,36,9,36,2,2
73,38,3,43,2,2
100,38,12,43,2,2
36,37,14,43,2,2
39,37,15,45,2,2
122,37,18,48,2,2
133,37,13,50,2,2
126,26,19,26,2,3
156,27,2,27,2,3
167,27,4,28,2,3
173,27,10,29,2,3
175,27,1,30,2,3
182,27,7,30,2,3
145,26,16,30,2,3
157,26,17,31,2,3
162,26,20,31,2,3
181,32,6,32,2,3
195,36,9,36,2,3
146,37,3,43,2,3
164,37,14,43,2,3
178,37,8,44,2,3
188,37,18,48,2,3
193,37,13,50,2,3
169,26,19,26,2,4
186,26,4,28,2,4
191,26,10,29,2,4
10,25,1,30,2,4
29,25,7,30,2,4
34,25,16,30,2,4
45,25,5,31,2,4
70,25,17,31,2,4
166,25,20,31,2,4
6,24,6,32,2,4
40,35,9,36,2,4
196,37,11,37,2,4
68,35,3,43,2,4
69,35,12,43,2,4
86,35,14,43,2,4
138,35,8,44,2,4
163,35,15,45,2,4
189,35,18,48,2,4
41,34,13,50,2,4
14,24,19,26,3,1
15,24,4,28,3,1
43,24,1,30,3,1
63,24,7,30,3,1
66,24,16,30,3,1
90,24,5,31,3,1
103,24,20,31,3,1
106,24,6,32,3,1
53,34,9,36,3,1
92,34,11,37,3,1
95,34,3,43,3,1
97,34,12,43,3,1
102,34,14,43,3,1
111,34,15,45,3,1
117,34,18,48,3,1
179,34,13,50,3,1
119,24,19,26,3,2
130,24,4,28,3,2
131,24,1,30,3,2
135,24,7,30,3,2
155,24,5,31,3,2
183,24,17,31,3,2
5,23,20,31,3,2
7,23,6,32,3,2
187,34,11,37,3,2
2,33,12,43,3,2
54,33,14,43,3,2
55,33,8,44,3,2
64,33,15,45,3,2
116,23,19,26,3,3
127,23,2,27,3,3
128,23,4,28,3,3
129,23,10,29,3,3
149,23,1,30,3,3
174,23,7,30,3,3
180,23,16,30,3,3
197,23,6,32,3,3
93,33,9,36,3,3
168,33,11,37,3,3
190,33,12,43,3,3
199,33,8,44,3,3
25,22,18,48,3,3
44,22,13,50,3,3
79,22,19,26,3,4
89,22,2,27,3,4
154,22,4,28,3,4
3,21,10,29,3,4
9,21,1,30,3,4
42,21,7,30,3,4
75,21,16,30,3,4
78,21,5,31,3,4
82,21,17,31,3,4
83,21,20,31,3,4
87,21,6,32,3,4
99,21,9,36,3,4
118,21,11,37,3,4
132,21,3,43,3,4
136,21,12,43,3,4
137,21,8,44,3,4
185,21,15,45,3,4
192,21,18,48,3,4
200,21,13,50,3,4
22,20,19,26,4,1
28,20,4,28,4,1
50,20,1,30,4,1
56,20,7,30,4,1
85,20,16,30,4,1
94,20,5,31,4,1
110,20,17,31,4,1
124,20,20,31,4,1
139,20,9,36,4,1
