subjects,number_student,rooms,num_seat,day,section
32,22,5,22,1,1
54,22,9,22,1,1
41,24,4,24,1,1
8,28,3,28,1,1
18,29,8,29,1,1
24,40,12,41,1,1
48,40,6,46,1,1
57,40,11,48,1,1
11,21,7,21,1,2
34,21,5,22,1,2
43,21,9,22,1,2
50,24,4,24,1,2
13,28,3,28,1,2
52,30,1,30,1,2
1,39,6,46,1,2
23,39,11,48,1,2
27,39,2,49,1,2
10,20,7,21,1,3
12,20,5,22,1,3
3,23,4,24,1,3
17,28,3,28,1,3
53,30,1,30,1,3
30,35,10,35,1,3
59,39,12,41,1,3
60,39,6,46,1,3
21,38,2,49,1,3
5,23,4,24,1,4
25,28,3,28,1,4
33,29,8,29,1,4
46,29,1,30,1,4
22,38,12,41,1,4
7,37,6,46,1,4
20,37,11,48,1,4
2,36,2,49,1,4
45,28,3,28,2,1
51,29,1,30,2,1
35,35,10,35,2,1
14,36,11,48,2,1
44,23,4,24,2,2
49,28,3,28,2,2
31,27,8,29,2,2
37,27,1,30,2,2
42,35,10,35,2,2
4,34,12,41,2,2
6,34,6,46,2,2
16,34,11,48,2,2
56,23,4,24,2,3
47,27,3,28,2,3
19,26,1,30,2,3
36,34,10,35,2,3
55,34,12,41,2,3
58,34,6,46,2,3
38,33,11,48,2,3
9,32,2,49,2,3
28,26,3,28,2,4
39,26,8,29,2,4
26,25,1,30,2,4
29,32,10,35,2,4
15,31,6,46,2,4
40,25,11,48,2,4
