subjects,number_student,rooms,num_seat,day,section
27,24,8,24,1,1
35,23,2,25,1,1
26,26,3,26,1,1
24,30,10,30,1,1
8,32,7,32,1,1
9,35,5,35,1,1
36,36,11,36,1,1
4,38,9,38,1,1
1,40,12,43,1,1
5,40,15,50,1,1
53,23,13,23,1,2
21,22,8,24,1,2
22,22,2,25,1,2
43,22,6,25,1,2
57,26,3,26,1,2
40,30,10,30,1,2
16,32,7,32,1,2
10,35,5,35,1,2
19,35,11,36,1,2
50,38,9,38,1,2
30,40,1,44,1,2
13,39,14,45,1,2
54,22,8,24,1,3
55,22,2,25,1,3
69,22,6,25,1,3
61,26,3,26,1,3
11,29,10,30,1,3
17,32,7,32,1,3
33,35,5,35,1,3
42,35,11,36,1,3
56,38,9,38,1,3
32,39,16,41,1,3
39,39,12,43,1,3
58,38,1,44,1,3
64,38,14,45,1,3
18,37,15,50,1,3
7,21,4,23,1,4
15,21,13,23,1,4
60,21,8,24,1,4
62,21,2,25,1,4
66,21,6,25,1,4
38,29,10,30,1,4
41,32,7,32,1,4
28,34,5,35,1,4
29,34,11,36,1,4
46,37,9,38,1,4
65,37,16,41,1,4
68,34,12,43,1,4
2,33,1,44,1,4
12,33,14,45,1,4
44,32,15,50,1,4
23,20,4,23,2,1
37,20,13,23,2,1
45,20,2,25,2,1
59,20,6,25,2,1
67,29,10,30,2,1
47,32,5,35,2,1
49,32,11,36,2,1
3,31,16,41,2,1
31,31,1,44,2,1
34,31,7,32,2,2
48,31,11,36,2,2
70,29,9,38,2,2
25,28,16,41,2,2
6,27,12,43,2,2
14,27,14,45,2,2
20,27,15,50,2,2
51,27,10,30,2,3
52,27,7,32,2,3
63,27,11,36,2,3
