subjects,number_student,rooms,num_seat,day,section
17,21,1,21,1,1
32,22,5,22,1,1
35,22,13,22,1,1
5,27,11,27,1,1
10,28,16,28,1,1
19,30,3,30,1,1
8,32,6,32,1,1
7,33,7,33,1,1
57,33,14,33,1,1
25,36,4,36,1,1
23,37,9,37,1,1
1,38,19,38,1,1
2,40,18,48,1,1
27,40,10,50,1,1
30,21,1,21,1,2
54,22,13,22,1,2
11,27,11,27,1,2
47,28,12,28,1,2
52,28,16,28,1,2
22,32,6,32,1,2
24,32,8,32,1,2
70,33,7,33,1,2
74,33,14,33,1,2
36,36,4,36,1,2
40,36,15,36,1,2
4,38,19,38,1,2
39,40,17,47,1,2
50,40,18,48,1,2
68,40,10,50,1,2
80,21,1,21,1,3
69,22,5,22,1,3
18,20,13,22,1,3
14,25,20,25,1,3
56,27,11,27,1,3
76,28,12,28,1,3
73,27,16,28,1,3
28,30,3,30,1,3
26,32,6,32,1,3
44,32,8,32,1,3
78,33,7,33,1,3
55,32,14,33,1,3
49,36,15,36,1,3
31,37,9,37,1,3
13,38,19,38,1,3
6,39,2,45,1,3
16,39,17,47,1,3
60,39,18,48,1,3
58,20,1,21,1,4
59,25,20,25,1,4
21,26,11,27,1,4
63,26,12,28,1,4
33,30,3,30,1,4
15,31,6,32,1,4
20,31,8,32,1,4
37,31,14,33,1,4
9,35,4,36,1,4
62,35,15,36,1,4
46,37,9,37,1,4
29,38,19,38,1,4
77,39,17,47,1,4
34,38,18,48,1,4
41,38,10,50,1,4
66,24,12,28,2,1
67,24,16,28,2,1
51,31,6,32,2,1
61,31,8,32,2,1
64,31,7,33,2,1
75,31,14,33,2,1
71,34,15,36,2,1
72,37,9,37,2,1
53,38,18,48,2,1
79,37,10,50,2,1
3,23,20,25,2,2
42,23,16,28,2,2
38,30,6,32,2,2
12,29,8,32,2,2
45,29,14,33,2,2
48,29,4,36,2,2
43,23,15,36,2,2
65,23,9,37,2,2
