subjects,number_student,rooms,num_seat,day,section
74,24,2,24,1,1
15,27,4,27,1,1
25,30,13,30,1,1
6,31,18,31,1,1
19,33,5,33,1,1
30,33,8,33,1,1
35,34,12,34,1,1
43,34,15,34,1,1
26,40,16,42,1,1
34,40,1,48,1,1
89,40,19,49,1,1
3,20,7,20,1,2
16,21,14,21,1,2
75,24,2,24,1,2
2,25,9,25,1,2
13,26,6,26,1,2
33,26,10,26,1,2
28,30,3,30,1,2
54,30,13,30,1,2
14,31,18,31,1,2
31,33,5,33,1,2
59,33,8,33,1,2
78,34,12,34,1,2
98,34,15,34,1,2
95,40,20,41,1,2
158,40,16,42,1,2
173,40,11,45,1,2
178,40,17,47,1,2
183,40,1,48,1,2
5,39,19,49,1,2
10,20,7,20,1,3
32,21,14,21,1,3
107,24,2,24,1,3
17,25,9,25,1,3
20,27,4,27,1,3
67,30,3,30,1,3
23,31,18,31,1,3
77,33,5,33,1,3
93,33,8,33,1,3
103,34,12,34,1,3
133,34,15,34,1,3
18,39,20,41,1,3
29,39,16,42,1,3
57,39,11,45,1,3
60,39,17,47,1,3
116,39,1,48,1,3
184,39,19,49,1,3
62,21,14,21,1,4
120,24,2,24,1,4
21,25,9,25,1,4
51,26,6,26,1,4
36,27,4,27,1,4
82,30,3,30,1,4
84,30,13,30,1,4
24,31,18,31,1,4
113,33,5,33,1,4
115,33,8,33,1,4
134,34,15,34,1,4
195,39,20,41,1,4
58,38,16,42,1,4
110,38,11,45,1,4
119,38,17,47,1,4
121,38,1,48,1,4
123,38,19,49,1,4
73,20,7,20,2,1
52,26,6,26,2,1
61,26,10,26,2,1
39,27,4,27,2,1
161,30,3,30,2,1
166,30,13,30,2,1
83,31,18,31,2,1
127,33,5,33,2,1
144,34,15,34,2,1
125,38,16,42,2,1
155,38,11,45,2,1
199,38,17,47,2,1
1,37,1,48,2,1
9,37,19,49,2,1
135,24,2,24,2,2
27,25,9,25,2,2
66,26,6,26,2,2
4,29,3,30,2,2
38,29,13,30,2,2
91,31,18,31,2,2
145,34,12,34,2,2
157,34,15,34,2,2
41,37,20,41,2,2
47,37,16,42,2,2
55,37,11,45,2,2
101,37,17,47,2,2
131,37,1,48,2,2
141,37,19,49,2,2
86,20,7,20,2,3
85,21,14,21,2,3
160,24,2,24,2,3
79,26,6,26,2,3
88,26,10,26,2,3
53,27,4,27,2,3
40,29,13,30,2,3
132,33,5,33,2,3
164,33,8,33,2,3
165,33,12,34,2,3
181,33,15,34,2,3
177,37,20,41,2,3
189,37,16,42,2,3
11,36,11,45,2,3
42,36,17,47,2,3
50,36,19,49,2,3
130,20,7,20,2,4
105,21,14,21,2,4
176,24,2,24,2,4
99,26,6,26,2,4
100,26,10,26,2,4
68,29,3,30,2,4
76,29,13,30,2,4
44,32,5,33,2,4
106,32,8,33,2,4
111,32,12,34,2,4
163,32,15,34,2,4
65,36,20,41,2,4
70,36,16,42,2,4
104,36,11,45,2,4
124,36,17,47,2,4
143,36,1,48,2,4
196,36,19,49,2,4
154,20,7,20,3,1
109,21,14,21,3,1
186,24,2,24,3,1
92,27,4,27,3,1
167,32,5,33,3,1
174,32,15,34,3,1
48,35,20,41,3,1
56,35,16,42,3,1
72,35,11,45,3,1
90,35,17,47,3,1
148,35,19,49,3,1
162,20,7,20,3,2
112,21,14,21,3,2
45,23,2,24,3,2
108,26,6,26,3,2
136,26,10,26,3,2
94,27,4,27,3,2
80,29,3,30,3,2
137,31,5,33,3,2
156,31,8,33,3,2
169,31,15,34,3,2
159,35,20,41,3,2
168,35,17,47,3,2
194,35,1,48,3,2
197,31,19,49,3,2
191,20,7,20,3,3
117,21,14,21,3,3
49,23,2,24,3,3
46,25,9,25,3,3
139,26,6,26,3,3
149,26,10,26,3,3
102,27,4,27,3,3
147,29,3,30,3,3
7,28,13,30,3,3
22,28,18,31,3,3
63,28,5,33,3,3
87,28,8,33,3,3
96,28,12,34,3,3
129,28,15,34,3,3
170,27,16,42,3,3
172,27,11,45,3,3
198,27,17,47,3,3
200,27,1,48,3,3
175,26,19,49,3,3
138,21,14,21,3,4
190,26,6,26,3,4
192,26,10,26,3,4
64,25,4,27,3,4
97,25,3,30,3,4
118,25,13,30,3,4
122,25,18,31,3,4
146,25,5,33,3,4
153,25,8,33,3,4
171,25,12,34,3,4
180,25,15,34,3,4
182,25,20,41,3,4
69,23,16,42,3,4
81,23,11,45,3,4
140,23,17,47,3,4
152,23,1,48,3,4
188,23,19,49,3,4
142,21,14,21,4,1
8,22,10,26,4,1
12,22,3,30,4,1
37,22,18,31,4,1
71,22,5,33,4,1
114,22,8,33,4,1
126,22,15,34,4,1
128,22,20,41,4,1
151,22,16,42,4,1
179,22,11,45,4,1
193,22,17,47,4,1
150,21,14,21,4,2
185,21,2,24,4,2
187,21,6,26,4,2
