subjects,number_student,rooms,num_seat,day,section
22,20,12,20,1,1
23,20,16,20,1,1
15,21,9,21,1,1
28,26,13,26,1,1
43,30,15,30,1,1
19,33,14,33,1,1
4,38,2,38,1,1
2,40,4,40,1,1
11,40,5,41,1,1
41,40,6,45,1,1
44,40,11,45,1,1
45,40,8,50,1,1
40,20,1,20,1,2
62,20,12,20,1,2
54,21,9,21,1,2
13,25,7,25,1,2
34,29,15,30,1,2
1,39,4,40,1,2
46,39,3,41,1,2
58,39,5,41,1,2
6,38,6,45,1,2
14,38,11,45,1,2
31,38,8,50,1,2
67,25,13,26,1,3
56,29,15,30,1,3
39,33,14,33,1,3
50,38,2,38,1,3
27,37,4,40,1,3
52,37,5,41,1,3
8,36,6,45,1,3
24,36,11,45,1,3
33,36,10,50,1,3
63,21,9,21,1,4
3,24,7,25,1,4
7,24,13,26,1,4
61,29,15,30,1,4
69,32,14,33,1,4
47,36,2,38,1,4
49,36,4,40,1,4
10,35,3,41,1,4
36,35,6,45,1,4
37,35,11,45,1,4
59,35,8,50,1,4
66,35,10,50,1,4
64,24,13,26,2,1
65,29,15,30,2,1
12,31,14,33,2,1
9,34,2,38,2,1
20,34,4,40,2,1
32,34,3,41,2,1
51,34,6,45,2,1
70,34,8,50,2,1
38,28,15,30,2,2
17,31,2,38,2,2
25,31,4,40,2,2
29,31,3,41,2,2
57,31,5,41,2,2
42,28,11,45,2,2
53,28,8,50,2,2
55,28,10,50,2,2
68,21,9,21,2,3
21,23,7,25,2,3
26,23,13,26,2,3
5,27,15,30,2,3
18,27,14,33,2,3
30,27,4,40,2,3
60,27,3,41,2,3
16,22,5,41,2,3
35,22,6,45,2,3
48,22,11,45,2,3
