subjects,number_student,rooms,num_seat,day,section
19,21,7,21,1,1
17,26,1,26,1,1
7,31,9,31,1,1
1,34,12,34,1,1
55,38,11,38,1,1
32,40,5,40,1,1
59,40,10,41,1,1
31,39,2,48,1,1
24,21,7,21,1,2
39,26,1,26,1,2
15,31,3,31,1,2
53,31,9,31,1,2
2,34,12,34,1,2
13,37,11,38,1,2
46,39,5,40,1,2
58,39,8,41,1,2
20,37,10,41,1,2
29,21,7,21,1,3
25,24,6,24,1,3
36,30,3,31,1,3
45,30,9,31,1,3
8,34,12,34,1,3
28,37,11,38,1,3
41,37,8,41,1,3
42,37,10,41,1,3
49,37,2,48,1,3
40,20,4,20,1,4
50,21,7,21,1,4
51,24,6,24,1,4
60,26,1,26,1,4
56,30,3,31,1,4
11,29,9,31,1,4
37,34,12,34,1,4
3,36,11,38,1,4
10,36,5,40,1,4
4,35,8,41,1,4
9,35,10,41,1,4
14,35,2,48,1,4
23,23,6,24,2,1
22,29,3,31,2,1
21,35,8,41,2,1
30,35,10,41,2,1
43,35,2,48,2,1
33,23,6,24,2,2
35,29,3,31,2,2
5,27,9,31,2,2
38,34,12,34,2,2
16,33,5,40,2,2
27,33,8,41,2,2
48,33,10,41,2,2
54,33,2,48,2,2
44,23,6,24,2,3
57,25,1,26,2,3
47,27,3,31,2,3
12,22,9,31,2,3
6,32,12,34,2,3
18,32,11,38,2,3
26,32,5,40,2,3
52,32,8,41,2,3
34,22,10,41,2,3
