subjects,number_student,rooms,num_seat,day,section
11,21,8,21,1,1
1,31,6,31,1,1
25,34,4,34,1,1
14,38,5,38,1,1
37,39,1,42,1,1
20,21,8,21,1,2
7,30,6,31,1,2
3,33,7,33,1,2
40,34,2,34,1,2
6,33,4,34,1,2
18,38,3,38,1,2
39,38,5,38,1,2
33,30,6,31,1,3
26,33,7,33,1,3
2,32,2,34,1,3
8,32,4,34,1,3
5,37,5,38,1,3
28,37,1,42,1,3
15,20,8,21,1,4
22,29,6,31,1,4
10,28,7,33,1,4
12,27,2,34,1,4
17,27,4,34,1,4
30,37,3,38,1,4
32,36,5,38,1,4
9,35,1,42,1,4
38,27,6,31,2,1
16,26,2,34,2,1
13,35,3,38,2,1
29,35,1,42,2,1
4,25,6,31,2,2
27,24,7,33,2,2
36,24,2,34,2,2
34,35,3,38,2,2
21,23,5,38,2,2
23,23,1,42,2,2
31,23,6,31,2,3
35,23,7,33,2,3
19,22,2,34,2,3
24,22,4,34,2,3
