subjects,number_student,rooms,num_seat,day,section
3,20,11,20,1,1
31,28,16,28,1,1
9,33,4,33,1,1
16,33,10,33,1,1
2,36,3,36,1,1
11,37,2,37,1,1
15,38,5,38,1,1
26,40,8,42,1,1
56,40,12,42,1,1
14,39,6,45,1,1
66,39,1,48,1,1
18,38,14,48,1,1
37,23,15,23,1,2
10,27,9,28,1,2
19,27,16,28,1,2
62,33,4,33,1,2
7,36,3,36,1,2
23,37,2,37,1,2
55,38,5,38,1,2
29,37,13,40,1,2
30,37,8,42,1,2
13,36,12,42,1,2
28,36,7,44,1,2
41,36,6,45,1,2
50,36,1,48,1,2
4,20,11,20,1,3
33,27,9,28,1,3
51,27,16,28,1,3
24,32,4,33,1,3
42,32,10,33,1,3
57,36,3,36,1,3
1,35,2,37,1,3
5,35,5,38,1,3
32,35,13,40,1,3
40,35,8,42,1,3
44,35,12,42,1,3
48,34,7,44,1,3
59,34,1,48,1,3
60,34,14,48,1,3
22,20,11,20,1,4
6,22,15,23,1,4
63,27,9,28,1,4
12,26,16,28,1,4
67,32,4,33,1,4
20,31,10,33,1,4
61,34,3,36,1,4
68,34,2,37,1,4
25,31,5,38,1,4
39,31,13,40,1,4
49,31,8,42,1,4
58,31,12,42,1,4
52,30,7,44,1,4
69,30,6,45,1,4
45,20,11,20,2,1
21,22,15,23,2,1
17,26,9,28,2,1
34,29,10,33,2,1
38,29,5,38,2,1
54,29,12,42,2,1
65,26,6,45,2,1
70,26,1,48,2,1
27,25,14,48,2,1
53,20,11,20,2,2
8,24,9,28,2,2
35,24,4,33,2,2
36,24,10,33,2,2
43,24,3,36,2,2
46,24,5,38,2,2
47,22,13,40,2,2
64,20,12,42,2,2
