subjects,number_student,rooms,num_seat,day,section
18,20,10,20,1,1
15,36,7,36,1,1
23,38,2,38,1,1
26,38,12,38,1,1
24,39,11,39,1,1
14,40,1,40,1,1
37,39,4,40,1,1
43,39,3,50,1,1
31,20,10,20,1,2
22,28,9,28,1,2
38,36,7,36,1,2
2,37,2,38,1,2
58,37,12,38,1,2
54,39,11,39,1,2
57,39,1,40,1,2
9,35,4,40,1,2
41,35,3,50,1,2
35,34,6,50,1,2
39,20,10,20,1,3
53,28,9,28,1,3
52,34,7,36,1,3
12,33,2,38,1,3
40,33,12,38,1,3
42,33,1,40,1,3
50,33,4,40,1,3
27,32,8,47,1,3
29,32,3,50,1,3
59,32,6,50,1,3
48,20,10,20,1,4
1,27,9,28,1,4
6,31,7,36,1,4
20,31,2,38,1,4
34,31,5,38,1,4
49,30,12,38,1,4
21,29,11,39,1,4
30,29,1,40,1,4
47,29,4,40,1,4
51,29,3,50,1,4
60,29,6,50,1,4
3,26,9,28,2,1
8,26,5,38,2,1
25,26,11,39,2,1
44,26,1,40,2,1
4,25,3,50,2,1
11,25,9,28,2,2
16,25,2,38,2,2
17,25,5,38,2,2
36,25,12,38,2,2
46,25,11,39,2,2
10,24,4,40,2,2
28,24,8,47,2,2
32,24,9,28,2,3
56,24,7,36,2,3
7,23,2,38,2,3
13,23,5,38,2,3
55,23,12,38,2,3
5,22,11,39,2,3
19,22,1,40,2,3
45,22,4,40,2,3
33,21,8,47,2,3
